"Product (20)","Description","Primary Vendor Name","Product Line Description","Web Category Description","Primary Vendor","Product Line Code","Web Category","Major Group Code","Major Group Description","Price Group Code","Price Group Description","UPC","Image File","Image Path","Image URL","Status","Available","Units of Measure"
"PVC40L40","4"" PVC SCH40 ELBOW                                          ","Alro Products International, LLC","PVC FITTINGS SCH-40","","00131","0166","","","","","","","","","","N","0","EA"
"NHR8030","8 X 3 NO HUB REDUCER                                        ","AB&I Foundry Tyler Pipe","NO HUB FITTING ALL + 4","","01615","0109","","03","NO HUB FITTINGS","","","61194200507","","https://ysps.shop/media/products/images/NHR2015.jpg","https://ysps.shop/media/products/images/NHR2015.jpg","","3","EA"
"NHSS20","2"" NO HUB SHORT SWEEP                                       ","AB&I Foundry Tyler Pipe","NO HUB PIPE -4 NYC","","01615","0024","","03","NO HUB FITTINGS","","","61194200189","","https://ysps.shop/media/products/images/NHSS20.jpg","https://ysps.shop/media/products/images/NHSS20.jpg","","613","EA"
"CALG36SB","Fine Fixures CONCORDIA LEG /  BASE 36' WIDE - SATIN BRASS   ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","https://finefixadmin.wpengine.com/wp-content/uploads/2020/06/36-sb-1-2000x2000-1.jpg","https://finefixadmin.wpengine.com/wp-content/uploads/2020/06/36-sb-1-2000x2000-1.jpg","N","0","EA"
"DCT07","3/4 C X C X C TEE                                           ","EVERFLOW SUPPLIES INC","Copper Domestic Fittings","","00283","0217","","","","","","685768232278","","","","N","0","EA"
"OPUR36WA","Fine Fixures URBANIA VANITY   36' WIDE - 2 DOOR /SHELF      ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","https://finefixadmin.wpengine.com/wp-content/uploads/2020/09/IMG_0050.jpg","https://finefixadmin.wpengine.com/wp-content/uploads/2020/09/IMG_0050.jpg","N","0","EA"
"PCFA0705","3/4X1/2 BRASS PEX X COPPER    FITTIN                        ","Alro Products International, LLC","PEX FITTINGS","","00131","0016","","","","","","80459599012","","","","","120","EA"
"JDUO","1-1/2"" JUNIOR DUO STRAINER                                  ","EVERFLOW SUPPLIES INC","TUBULER:TUBULER","","00283","0014","","05","TUBULER","","","80459507551","","https://ysps.shop/media/products/images/JDUO.jpg","https://ysps.shop/media/products/images/JDUO.jpg","","43","EA"
"SHCU155","GLOBE 1/2"" UPRIGHT 155F       DEGREE SPRINKLER HEAD CHROME  ","BMB SALES","SPRINKLER HEAD","","00183","SPRINKLER","","","","","","","","","","","100","EA"
"JS76000","JOSAM 76000-30 14.5 Ft Long   Trench Drain: 6"" Wide         ","Josam Company","JOSAM","","00376","0058","","","","","","","","","","N","0","EA"
"DCT10","1 C X C X C TEE                                             ","EVERFLOW SUPPLIES INC","Copper Domestic Fittings","","00283","0217","","","","","","685768232360","","","","N","0","EA"
"SVTY10060","                                                            ","AB&I Foundry Tyler Pipe","sv fitting","","01615","0128","","","","","","","","","","N","0","EA"
"DCT12","1-1/4 C X C X C TEE                                         ","EVERFLOW SUPPLIES INC","Copper Domestic Fittings","","00283","0217","","","","","","685768210382","","","","N","0","EA"
"LPLE71A2-2","Liberty LE71A2-2, LE70 Series,Automatic Submersible Sewage  ","Liberty Pumps, Inc.","LIBERTY PUMPS","","00411","0062","","","","","","","Liberty LE71A2-2.jpg","\\192.168.1.66\IMAGES/Liberty LE71A2-2.jpg","","N","0","EA"
"MLEC2424","Fine Fixures 24X24 ROUND      ALUMINUM MIRROR WITH FRAMED   ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","https://finefixadmin.wpengine.com/wp-content/uploads/2020/10/MLEC18182-scaled.jpg","https://finefixadmin.wpengine.com/wp-content/uploads/2020/10/MLEC18182-scaled.jpg","N","0","EA"
"IR07","Dual IR/Probe Thermometer                                   ","Klein Tools Inc.","Klein Tools","","01283","0156","","","","","","","ir07.jpg","\\192.168.1.66\IMAGES/ir07.jpg","","","2","EA"
"BMFFA0705","3/4X1/2 INSTASEAL Adapter                                   ","Viking SupplyNet","CPVC BRASS REDUCER","","00724","0219","","013","CPVC","","","","","","","N","0","EA"
"53117","Ridgid 53117 Model K-3800 115 Volt Electric Drain Cleaning  ","Emerson Professional Tools","RIDGID HAND TOOLS","","01533","0188","","014","RIDGID","","","095691531179","Ridgid tool images JPG formate\53117.jpg","\\192.168.1.66\IMAGES/Ridgid tool images JPG formate\53117.jpg","","","1","EA"
